t_s,s1_cm,s2_cm,s3_cm,s4_cm,s5_cm,s6_cm,s7_cm
0.0,61.94,3.02,0.5,0.12,0.31,-0.37,-0.22
2.001,62.02,3.15,1.05,-0.04,0.31,-0.37,-0.1
4.001,62.07,3.33,1.77,0.14,0.29,-0.36,0.45
6.001,62.24,3.61,2.56,0.24,0.24,-0.36,0.54
8.001,60.07,3.76,3.18,0.15,0.25,-0.36,0.89
10.001,56.12,3.82,3.7,0.12,0.2,-0.35,0.97
12.001,52.42,4.03,4.15,0.24,0.27,-0.36,0.97
14.001,48.91,4.2,4.48,0.3,0.36,-0.38,0.95
16.002,45.5,4.46,4.82,0.44,0.38,-0.35,0.81
18.002,42.47,4.63,5.09,0.35,0.29,-0.35,0.81
20.002,40.64,4.89,5.31,0.69,0.25,-0.34,0.84
22.002,39.28,5.19,5.56,0.6,0.2,-0.3,0.85
24.003,38.27,5.32,5.76,0.87,0.43,-0.28,0.83
26.003,37.87,5.41,5.87,0.85,0.46,-0.28,0.78
28.003,37.09,5.55,6.0,0.98,0.38,-0.23,0.79
30.003,36.56,5.61,6.07,0.96,0.48,-0.24,0.8
32.003,35.93,5.74,6.18,1.09,0.22,-0.22,0.82
34.004,35.44,5.84,6.26,1.18,0.58,-0.23,0.84
36.004,34.54,5.92,6.36,1.07,0.53,-0.23,0.78
38.004,34.15,5.97,6.46,1.09,0.67,-0.24,0.79
40.005,33.5,6.05,6.54,1.11,0.65,-0.21,0.8
42.005,33.03,6.17,6.6,1.27,0.65,-0.2,0.76
44.005,32.49,6.2,6.73,1.32,0.85,-0.17,0.79
46.005,31.91,6.29,6.8,1.27,0.72,-0.16,0.78
48.006,31.42,6.45,6.87,1.18,0.83,-0.17,0.76
50.006,30.97,6.45,6.96,1.47,0.88,-0.15,0.75
52.006,30.17,6.63,7.05,1.48,1.02,-0.14,0.77
54.006,29.81,6.6,7.13,1.43,0.81,-0.13,0.72
56.007,29.18,6.71,7.18,1.47,1.09,-0.13,0.7
58.007,28.69,6.85,7.25,1.41,1.12,-0.12,0.74
60.007,28.26,6.93,7.36,1.54,1.25,-0.08,0.73
62.008,27.79,7.01,7.37,1.59,1.33,-0.08,0.72
64.008,27.48,7.07,7.48,1.61,1.42,-0.05,0.7
66.008,26.9,7.13,7.53,1.64,1.56,-0.05,0.7
68.008,26.47,7.25,7.61,1.52,1.59,-0.02,0.67
70.009,25.87,7.35,7.68,1.64,1.66,0.02,0.68
72.009,25.55,7.34,7.71,1.57,1.66,0.04,0.69
74.009,25.05,7.41,7.82,1.59,1.82,0.09,0.64
76.009,24.71,7.5,7.88,1.63,1.77,0.13,0.68
78.009,24.2,7.49,7.93,1.72,1.86,0.17,0.66
80.009,23.74,7.61,7.96,1.75,2.05,0.2,0.66
82.01,23.31,7.6,8.01,1.63,2.05,0.24,0.64
84.01,23.04,7.74,8.08,1.79,2.24,0.28,0.61
86.01,22.71,7.76,8.12,1.77,1.98,0.32,0.6
88.011,22.28,7.81,8.15,1.75,2.12,0.38,0.6
90.011,22.05,7.86,8.23,1.66,2.1,0.42,0.6
92.011,21.49,7.84,8.28,1.86,2.2,0.47,0.58
94.011,21.12,7.91,8.3,1.9,2.22,0.51,0.59
96.011,20.69,8.02,8.34,1.88,2.33,0.55,0.59
98.012,20.5,8.02,8.36,2.0,2.22,0.58,0.58
100.012,20.03,8.0,8.42,1.91,2.33,0.63,0.6
102.012,19.64,8.05,8.45,2.13,2.34,0.65,0.59
104.013,19.29,8.16,8.53,2.06,2.47,0.7,0.58
106.014,18.91,8.2,8.55,2.18,2.27,0.77,0.58
108.014,18.61,8.15,8.58,2.11,2.43,0.8,0.54
110.014,18.33,8.22,8.61,2.11,2.45,0.85,0.55
