t_s,s1_cm,s2_cm,s3_cm,s4_cm,s5_cm,s6_cm,s7_cm
0.0,20.69,25.65,24.69,20.46,20.26,17.89,17.76
1.0,20.73,25.56,24.62,20.35,19.91,17.92,17.79
2.0,20.69,25.53,24.48,20.44,19.91,17.89,17.75
3.001,20.61,25.41,24.41,20.37,19.88,17.9,17.75
4.001,20.56,25.28,24.29,20.03,20.03,17.91,17.76
5.001,20.18,25.16,24.2,20.17,20.0,17.87,17.79
6.001,20.3,25.09,24.12,20.03,19.94,17.87,17.73
7.001,20.28,25.0,24.06,20.04,19.84,17.88,17.72
8.001,20.26,24.95,23.96,19.95,19.89,17.87,17.74
9.001,20.33,24.85,23.9,20.12,19.72,17.86,17.74
10.002,20.26,24.74,23.76,19.94,19.89,17.84,17.74
11.002,20.3,24.64,23.73,19.97,19.6,17.88,17.74
12.002,20.02,24.53,23.61,19.92,19.6,17.84,17.72
13.002,19.85,24.47,23.54,19.85,19.72,17.84,17.72
14.002,20.03,24.41,23.45,19.81,19.49,17.83,17.7
15.002,19.94,24.29,23.36,19.81,19.56,17.82,17.71
16.003,20.0,24.21,23.29,19.76,19.61,17.83,17.69
17.003,19.88,24.15,23.21,19.67,19.46,17.8,17.7
18.003,20.07,24.01,23.13,19.76,19.49,17.82,17.69
19.004,20.0,23.92,22.99,19.67,19.42,17.79,17.7
20.004,20.0,23.83,22.94,19.67,19.44,17.78,17.69
21.004,19.85,23.77,22.84,19.68,19.49,17.8,17.68
22.004,19.83,23.73,22.79,19.63,19.32,17.79,17.72
23.004,19.62,23.58,22.67,19.43,19.21,17.74,17.63
24.005,19.64,23.49,22.57,19.33,19.21,17.75,17.66
25.005,19.6,23.48,22.52,19.34,19.25,17.76,17.61
26.005,19.53,23.38,22.45,19.16,19.11,17.76,17.66
27.005,19.49,23.3,22.36,19.07,19.16,17.75,17.63
28.006,19.44,23.19,22.3,19.22,18.99,17.75,17.63
29.006,19.44,23.12,22.24,19.24,18.99,17.75,17.62
30.006,19.34,23.04,22.13,19.15,19.02,17.74,17.61
31.006,19.55,22.97,22.03,19.0,18.95,17.74,17.61
32.006,19.55,22.96,21.98,18.93,18.92,17.72,17.57
33.007,19.36,22.87,21.9,19.0,18.97,17.72,17.61
