epoch,y1_meas,y2_meas,y3_meas,y1_pred,y2_pred,y3_pred,innov1,innov2,innov3,u_mpc1,u_mpc2,u_mpc3,triggered
1,0.250000,0.200000,0.150000,0.250000,0.200000,0.150000,0.000000,0.000000,0.000000,2.78355e-09,3.92714e-09,5.03414e-09,1
2,0.250000,0.200000,0.150000,0.250000,0.200000,0.150000,-0.000000,-0.000000,0.000000,2.83942e-09,3.71922e-09,4.93312e-09,1
3,0.250000,0.200000,0.150000,0.250000,0.200000,0.150000,0.000000,0.000000,-0.000000,2.89516e-09,3.52971e-09,4.82425e-09,1
4,0.250000,0.200000,0.150000,0.250000,0.200000,0.150000,0.000000,-0.000000,0.000000,2.95046e-09,3.35615e-09,4.70925e-09,1
5,0.250000,0.200000,0.150000,0.250000,0.200000,0.150000,-0.000000,0.000000,0.000000,3.00505e-09,3.19655e-09,4.58964e-09,1
6,0.250000,0.200000,0.150000,0.250000,0.200000,0.150000,-0.000000,-0.000000,0.000000,3.0586e-09,3.04927e-09,4.46678e-09,1
7,0.250000,0.200000,0.150000,0.250000,0.200000,0.150000,0.000000,-0.000000,-0.000000,3.11078e-09,2.91292e-09,4.34182e-09,1
8,0.250000,0.200000,0.150001,0.250000,0.200000,0.150001,-0.000000,0.000000,-0.000000,3.16128e-09,2.78637e-09,4.21579e-09,1
9,0.250000,0.200000,0.150001,0.250000,0.200000,0.150001,-0.000000,-0.000000,0.000000,3.20974e-09,2.6686e-09,4.08954e-09,1
10,0.249999,0.200000,0.150001,0.249999,0.200000,0.150001,-0.000000,0.000000,0.000000,3.25586e-09,2.55879e-09,3.96382e-09,1
11,0.249999,0.200000,0.150001,0.249999,0.200000,0.150001,0.000000,0.000000,-0.000000,3.29929e-09,2.45617e-09,3.83924e-09,1
12,0.249999,0.200000,0.150001,0.249999,0.200000,0.150001,0.000000,-0.000000,-0.000000,3.33975e-09,2.3601e-09,3.71631e-09,1
13,0.249999,0.200000,0.150001,0.249999,0.200000,0.150001,0.000000,0.000000,-0.000000,3.37693e-09,2.27001e-09,3.59544e-09,1
14,0.249999,0.200000,0.150001,0.249999,0.200000,0.150001,-0.000000,-0.000000,0.000000,3.41057e-09,2.18538e-09,3.47697e-09,1
15,0.249999,0.200000,0.150001,0.249999,0.200000,0.150001,0.000000,-0.000000,0.000000,3.44043e-09,2.10577e-09,3.36118e-09,1
16,0.249999,0.200000,0.150001,0.249999,0.200000,0.150001,-0.000000,0.000000,-0.000000,3.46629e-09,2.03076e-09,3.24825e-09,1
17,0.249999,0.200000,0.150002,0.249999,0.200000,0.150002,0.000000,-0.000000,0.000000,3.48798e-09,1.95998e-09,3.13836e-09,1
