epoch,y1_meas,y2_meas,y3_meas,y1_pred,y2_pred,y3_pred,innov1,innov2,innov3,u_mpc1,u_mpc2,u_mpc3,triggered,y1_nompc,y2_nompc,y3_nompc
1,0.250000,0.200000,0.150000,0.250000,0.200000,0.150000,0.000000,0.000000,0.000000,2.8893e-08,7.6785e-09,1.0726e-08,1,0.250000,0.200000,0.150000
2,0.250000,0.200000,0.150000,0.250000,0.200000,0.150000,0.000000,-0.000000,-0.000000,2.6325e-08,7.84651e-09,1.06258e-08,1,0.250000,0.200000,0.150000
3,0.250000,0.200000,0.150000,0.250000,0.200000,0.150000,-0.000000,0.000000,0.000000,2.41464e-08,7.92125e-09,1.05222e-08,1,0.250000,0.200000,0.150000
4,0.250001,0.200000,0.150000,0.250001,0.200000,0.150000,-0.000000,0.000000,0.000000,2.22672e-08,7.91702e-09,1.04104e-08,1,0.250000,0.200000,0.150000
5,0.250001,0.200000,0.150001,0.250001,0.200000,0.150001,0.000000,-0.000000,0.000000,2.06234e-08,7.84892e-09,1.02867e-08,1,0.250000,0.200000,0.150000
6,0.250001,0.200000,0.150001,0.250001,0.200000,0.150001,0.000000,-0.000000,-0.000000,1.91689e-08,7.73067e-09,1.0149e-08,1,0.250000,0.200000,0.150000
7,0.250001,0.200001,0.150001,0.250001,0.200001,0.150001,-0.000000,0.000000,0.000000,1.78697e-08,7.5741e-09,9.99627e-09,1,0.250000,0.200000,0.150000
8,0.250002,0.200001,0.150001,0.250002,0.200001,0.150001,0.000000,-0.000000,-0.000000,1.67e-08,7.38905e-09,9.82855e-09,1,0.250000,0.200000,0.150000
9,0.250002,0.200001,0.150001,0.250002,0.200001,0.150001,-0.000000,0.000000,-0.000000,1.56401e-08,7.1835e-09,9.64652e-09,1,0.250000,0.200000,0.150000
10,0.250002,0.200001,0.150002,0.250002,0.200001,0.150002,0.000000,-0.000000,0.000000,1.46742e-08,6.96384e-09,9.45138e-09,1,0.250000,0.200000,0.150000
11,0.250002,0.200001,0.150002,0.250002,0.200001,0.150002,0.000000,0.000000,0.000000,1.379e-08,6.73509e-09,9.24463e-09,1,0.250000,0.200000,0.150000
12,0.250002,0.200001,0.150002,0.250002,0.200001,0.150002,-0.000000,0.000000,-0.000000,1.29772e-08,6.50118e-09,9.02797e-09,1,0.250000,0.200000,0.150000
13,0.250002,0.200001,0.150002,0.250002,0.200001,0.150002,0.000000,-0.000000,0.000000,1.22275e-08,6.26519e-09,8.80316e-09,1,0.250000,0.200000,0.150000
14,0.250002,0.200001,0.150003,0.250002,0.200001,0.150003,0.000000,0.000000,0.000000,1.1534e-08,6.02946e-09,8.57197e-09,1,0.250000,0.200000,0.150000
15,0.250003,0.200002,0.150003,0.250003,0.200002,0.150003,0.000000,-0.000000,0.000000,1.08907e-08,5.79583e-09,8.33608e-09,1,0.250000,0.200000,0.150000
16,0.250003,0.200002,0.150003,0.250003,0.200002,0.150003,-0.000000,0.000000,-0.000000,1.02927e-08,5.56568e-09,8.09711e-09,1,0.250000,0.200000,0.150000
17,0.250003,0.200002,0.150004,0.250003,0.200002,0.150004,-0.000000,-0.000000,0.000000,9.73571e-09,5.34007e-09,7.85651e-09,1,0.250000,0.200000,0.150000
18,0.250003,0.200002,0.150004,0.250003,0.200002,0.150004,-0.000000,0.000000,-0.000000,9.2159e-09,5.11977e-09,7.61561e-09,1,0.250000,0.200000,0.150000
